1.html , Spring 2004 Women's Tennis Schedule,  Oct 18 (Sat) 09:00 AM, Patriot League Championship, Bethlehem Pa., Lehigh wins three titles,
1.html , Spring 2004 Women's Tennis Schedule,  Oct 25 (Sat), ITA Division I East Regional Championships, Blacksburg VA, Complete results,
67.html , Fall 2005 Women's Soccer Schedule,  Oct 11 (Tue) 7:30:00 PM, Bucknell, Lewisburg Pa., W, 1-0,
67.html , Fall 2005 Women's Soccer Schedule,  Oct 21 (Fri) 7:00:00 PM, Navy, Ulrich Sports Complex, W, 1-0,
67.html , Fall 2005 Women's Soccer Schedule,  Oct 23 (Sun) 12:30:00 PM, American, Ulrich Sports Complex, W, 2-0,
67.html , Fall 2005 Women's Soccer Schedule,  Oct 26 (Wed) 7:00:00 PM, Army, Ulrich Sports Complex, L, 0-1,
67.html , Fall 2005 Women's Soccer Schedule,  Oct 30 (Sun) 1:00:00 PM, Holy Cross, Worcester Mass., W, 3-0,
67.html , Fall 2005 Women's Soccer Schedule,  Nov 4 (Fri) 05:00 PM, Bucknell, Ulrich Sports Complex, T, 1-1 Bucknell wins 6-5 in shootout,
68.html , All 2008-2009 Women's Golf Schedule,  Sep 6 (Sat) All Day, Bucknell Invitational, Lewisburg Pa., Na,4 of 12,
68.html , All 2008-2009 Women's Golf Schedule,  Sep 12 (Fri) 12:00 PM, Kutztown Invitational, Kutztown Pa., Na,1 of 5,
68.html , All 2008-2009 Women's Golf Schedule,  Sep 20 (Sat) 08:00 AM, Princeton Invitational, Princeton N.J., Na,10 of 15,
68.html , All 2008-2009 Women's Golf Schedule,  Oct 4 (Sat) TBA, ECAC Championship, Williamsburg Va., Na,4 of 17,
68.html , All 2008-2009 Women's Golf Schedule,  Oct 10 (Fri) 09:00 AM, Rutgers Invitational, Piscataway N.J., Na,2 of 16,
68.html , All 2008-2009 Women's Golf Schedule,  Oct 25 (Sat) TBA, Lehigh Invitational, Saucon Valley Country Club, Na,5 of 7,
68.html , All 2008-2009 Women's Golf Schedule,  Mar 2 (Mon) All Day, Savannah Arts and Design Invite, Savannah Ga. (Wimington Island Country Club), Complete Results,
68.html , All 2008-2009 Women's Golf Schedule,  Mar 21 (Sat) All Day, William and Mary Invitational, Williamsburg Va. (Fords Colony Country Club), Na,19 of 22,
68.html , All 2008-2009 Women's Golf Schedule,  Mar 30 (Mon) All Day, Hoya Invitational, Beallsville Md. (Members Club of Four Streams), Na,10 of 15,
68.html , All 2008-2009 Women's Golf Schedule,  Apr 4 (Sat) 09:00 AM, Penn, Heidelberg Country Club (Reading Pa.), W, 339 to 342,
68.html , All 2008-2009 Women's Golf Schedule,  Apr 17 (Fri) All Day, Roar-EE Invitational, Suffern N.Y. (Spook Rock Country Club), Na,7 of 10,
69.html , Winter 2001-2002 Wrestling Schedule,  Nov 6 (Tue), Wrestle-Offs, Grace Hall, Complete Results,
69.html , Winter 2001-2002 Wrestling Schedule,  Nov 15 (Thu), Pittsburgh, Grace Hall, W, 29-6,
69.html , Winter 2001-2002 Wrestling Schedule,  Nov 18 (Sun), Lock Haven, Lock Haven PA, L, 15-18,
69.html , Winter 2001-2002 Wrestling Schedule,  Nov 30 (Fri), Las Vegas Invitational, Las Vegas NV, 3rd out of 5,
69.html , Winter 2001-2002 Wrestling Schedule,  Dec 8 (Sat), Rutgers, Stabler Arena, W, 32-10,
69.html , Winter 2001-2002 Wrestling Schedule,  Dec 8 (Sat), Ohio, Stabler Arena, W, 23-13,
69.html , Winter 2001-2002 Wrestling Schedule,  Dec 8 (Sat), Ohio St, Stabler Arena, L, 19-25,
69.html , Winter 2001-2002 Wrestling Schedule,  Jan 3 (Thu), Michigan, Ann Arbor MI, L, 16-21,
69.html , Winter 2001-2002 Wrestling Schedule,  Jan 6 (Sun), Penn St, Grace Hall, W, 32-6,
69.html , Winter 2001-2002 Wrestling Schedule,  Jan 9 (Wed), Hofstra, New York Athletic Club, W, 29-6,
69.html , Winter 2001-2002 Wrestling Schedule,  Jan 11 (Fri), Princeton, Grace Hall, W, 34-6,
69.html , Winter 2001-2002 Wrestling Schedule,  Jan 19 (Sat), Oklahoma, Columbus Ohio, L, 9-30,
69.html , Winter 2001-2002 Wrestling Schedule,  Jan 20 (Sun), Arizona State, Columbus Ohio, T, 21-21 Arizona St. advances on criteria,
69.html , Winter 2001-2002 Wrestling Schedule,  Jan 25 (Fri), Navy, Grace Hall, W, 25-10,
69.html , Winter 2001-2002 Wrestling Schedule,  Jan 27 (Sun), Harvard, Boston MA, W, 21-20,
69.html , Winter 2001-2002 Wrestling Schedule,  Jan 27 (Sun), Brown, Providence RI, W, 20-14,
69.html , Winter 2001-2002 Wrestling Schedule,  Feb 8 (Fri), Rider, Lawrenceville NJ, W, 38-3,
69.html , Winter 2001-2002 Wrestling Schedule,  Feb 16 (Sat), North Carolina, Grace Hall, W, 32-7,
69.html , Winter 2001-2002 Wrestling Schedule,  Feb 17 (Sun), Army, West Point NY, W, 19-16,
69.html , Winter 2001-2002 Wrestling Schedule,  Feb 23 (Sat), North Carolina State, Stabler Arena, W, 26-15,
69.html , Winter 2001-2002 Wrestling Schedule,  Feb 24 (Sun), Pennsylvania, Philadelphia PA, L, 12-21,
69.html , Winter 2001-2002 Wrestling Schedule,  Feb 24 (Sun), Drexel, Philadelphia PA, W, 23-12,
69.html , Winter 2001-2002 Wrestling Schedule,  Mar 9 (Sat), EIWA Championships, Stabler Arena, 1st Place,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Nov 14 (Fri) 07:00 PM, Penn, Stabler Arena, W, 83-52,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Nov 16 (Sun) 01:00 PM, St. Joseph's, Philadelphia Pa., L, 63-71,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Nov 19 (Wed) 07:00 PM, Fairleigh Dickinson, Hackensack N.J., W, 90-54,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Nov 22 (Sat) 05:00 PM, St. Francis (Pa.), Loretto Pa., W, 82-62,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Nov 25 (Tue) 07:00 PM, Sacred Heart, Fairfield Conn., W, 77-75,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Nov 30 (Sun) 02:00 PM, Princeton, Stabler Arena, W, 63-43,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Dec 2 (Tue) 07:00 PM, Syracuse, Syracuse N.Y., L, 60-69,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Dec 5 (Fri) 07:00 PM, Bryant, Stabler Arena, W, 68-55,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Dec 7 (Sun) 01:00 PM, Villanova, Villanova Pa., L, 52-58,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Dec 18 (Thu) 07:00 PM, NJIT, Newark N.J., W, 65-54,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Dec 20 (Sat) 02:00 PM, Binghamton, Stabler Arena, W, 78-45,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Dec 29 (Mon) 05:00 PM, Valparaiso, Stabler Arena, La Salle 67 Valpo 62,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Dec 29 (Mon) 07:30 PM, North Florida, Stabler Arena, W, 67-47,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Dec 30 (Tue) 05:00 PM, Valparaiso, Stabler Arena, Valpo 58UNF 49,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Dec 30 (Tue) 07:30 PM, La Salle, Stabler Arena, W, 53-49,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Jan 2 (Fri) 02:00 PM, Fordham, Stabler Arena, W, 69-55,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Jan 4 (Sun) 02:00 PM, Akron, Akron Ohio, L, 59-67,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Jan 10 (Sat) 7:00:00 PM, American, Stabler Arena, W, 77-69,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Jan 14 (Wed) 7:00:00 PM, Navy, Annapolis Md., W, 66-63 OT,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Jan 18 (Sun) 3:00:00 PM, Army, West Point N.Y., L, 52-54,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Jan 21 (Wed) 7:00:00 PM, Colgate, Stabler Arena, W, 61-43,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Jan 24 (Sat) 7:00:00 PM, Lafayette, Stabler Arena, W, 73-51,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Jan 28 (Wed) 7:00:00 PM, Bucknell, Lewisburg Pa., W, 66-53,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Jan 31 (Sat) 1:00:00 PM, Holy Cross, Worcester Mass, W, 72-70,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Feb 7 (Sat) 4:00:00 PM, American, Washington D.C., L, 56-65,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Feb 11 (Wed) 7:00:00 PM, Navy, Stabler Arena, W, 66-48,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Feb 14 (Sat) 7:00:00 PM, Army, Stabler Arena, W, 66-57,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Feb 18 (Wed) 7:00:00 PM, Colgate, Hamilton N.Y., W, 71-42,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Feb 21 (Sat) 1:00:00 PM, Lafayette, Easton Pa., W, 73-58,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Feb 25 (Wed) 7:05:00 PM, Bucknell, Stabler Arena, W, 69-60,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Feb 28 (Sat) 1:05:00 PM, Holy Cross, Stabler Arena, W, 71-60,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Mar 7 (Sat) 12:05 PM, Colgate, Stabler Arena, W, 78-54,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Mar 8 (Sun) 01:05 PM, Army, Stabler Arena, W, 61-42,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Mar 11 (Wed) 06:00 PM, Lafayette, Stabler Arena, W, 64-56,
70.html , Winter 2008-2009 Women's Basketball Schedule,  Mar 21 (Sat) 12:15 PM, #8/6 Auburn, Piscataway N.J., L, 49-85,
71.html , Fall 2004 Women's Volleyball Schedule,  Sep 1 (Wed) 07:00 PM, Rider, Leeman-Turner Arena, L, 0-3,
71.html , Fall 2004 Women's Volleyball Schedule,  Sep 3 (Fri) 05:00 PM, Towson, Blacksburg VA, L, 0-3,
71.html , Fall 2004 Women's Volleyball Schedule,  Sep 4 (Sat) 10:00 AM, Virginia Tech, Blacksburg VA, L, 0-3,
71.html , Fall 2004 Women's Volleyball Schedule,  Sep 4 (Sat) 05:00 PM, Appalachian State, Blacksburg VA, L, 0-3,
71.html , Fall 2004 Women's Volleyball Schedule,  Sep 8 (Wed) 07:00 PM, Wagner, Leeman-Turner Arena, L, 2-3,
71.html , Fall 2004 Women's Volleyball Schedule,  Sep 10 (Fri) 04:30 PM, North Carolina State vs. Marist, Leeman-Turner Arena, North Carolina State 3Marist 0,
71.html , Fall 2004 Women's Volleyball Schedule,  Sep 10 (Fri) 07:00 PM, Columbia, Leeman-Turner Arena, W, 3-2,
71.html , Fall 2004 Women's Volleyball Schedule,  Sep 11 (Sat) 10:30 AM, North Carolina State vs. Columbia, Leeman-Turner Arena, North Carolina State 3Columbia 1,
71.html , Fall 2004 Women's Volleyball Schedule,  Sep 11 (Sat) 01:00 PM, Marist, Leeman-Turner Arena, L, 1-3,
71.html , Fall 2004 Women's Volleyball Schedule,  Sep 11 (Sat) 04:00 PM, Columbia vs. Marist, Leeman-Turner Arena, Marist 3Columbia 1,
71.html , Fall 2004 Women's Volleyball Schedule,  Sep 11 (Sat) 07:00 PM, North Carolina State, Leeman-Turner Arena, L, 1-3,
71.html , Fall 2004 Women's Volleyball Schedule,  Sep 17 (Fri) 07:00 PM, Stetson, DeLand FL, L, 1-3,
71.html , Fall 2004 Women's Volleyball Schedule,  Sep 18 (Sat) 10:00 AM, Florida Atlantic, DeLand FL, L, 0-3,
71.html , Fall 2004 Women's Volleyball Schedule,  Sep 24 (Fri) 07:00 PM, Lafayette, Easton PA, L, 0-3,
71.html , Fall 2004 Women's Volleyball Schedule,  Oct 1 (Fri) 07:00 PM, Colgate, Leeman-Turner Arena, W, 3-1,
71.html , Fall 2004 Women's Volleyball Schedule,  Oct 2 (Sat) 07:00 PM, Bucknell, Leeman-Turner Arena, L, 0-3,
71.html , Fall 2004 Women's Volleyball Schedule,  Oct 8 (Fri) 07:00 PM, Holy Cross, Worcester MA, L, 2-3,
71.html , Fall 2004 Women's Volleyball Schedule,  Oct 9 (Sat) 07:00 PM, Army, West Point NY, L, 1-3,
71.html , Fall 2004 Women's Volleyball Schedule,  Oct 14 (Thu) 07:00 PM, American, Leeman-Turner Arena, L, 0-3,
71.html , Fall 2004 Women's Volleyball Schedule,  Oct 15 (Fri) 07:00 PM, Navy, Leeman-Turner Arena, L, 0-3,
71.html , Fall 2004 Women's Volleyball Schedule,  Oct 20 (Wed) 07:00 PM, Fairleigh Dickinson, Leeman-Turner Arena, L, 0-3,
71.html , Fall 2004 Women's Volleyball Schedule,  Oct 22 (Fri) 07:00 PM, Lafayette, Leeman-Turner Arena, L, 1-3,
71.html , Fall 2004 Women's Volleyball Schedule,  Oct 29 (Fri) 07:00 PM, Bucknell, Lewisburg PA, L, 0-3,
71.html , Fall 2004 Women's Volleyball Schedule,  Oct 30 (Sat) 07:00 PM, Colgate, Hamilton NY, L, 2-3,
71.html , Fall 2004 Women's Volleyball Schedule,  Nov 5 (Fri) 07:00 PM, Army, Leeman-Turner Arena, L, 1-3,
71.html , Fall 2004 Women's Volleyball Schedule,  Nov 6 (Sat) 07:00 PM, Holy Cross, Leeman-Turner Arena, L, 2-3,
71.html , Fall 2004 Women's Volleyball Schedule,  Nov 12 (Fri) 07:00 PM, American, Washington DC, L, 0-3,
71.html , Fall 2004 Women's Volleyball Schedule,  Nov 13 (Sat) 07:00 PM, Navy, Annapolis MD, L, 1-3,
71.html , Fall 2004 Women's Volleyball Schedule,  Jan 16 (Sun), Lehigh Volleyball Banquet, University Center Third Floor, Na, Na
72.html , Fall 2010 Women's Cross Country Schedule,  Sep 3 (Fri) 5:30:00 PM, Lehigh Invitational, Goodman Campus, Na,2 of 9,
72.html , Fall 2010 Women's Cross Country Schedule,  Sep 18 (Sat) 9:30:00 AM, IONA Meet of Champs, Bronx N.Y., Na,6 of 18,
72.html , Fall 2010 Women's Cross Country Schedule,  Sep 25 (Sat) 9:30:00 AM, Lafayette, Easton Pa., W, 25-34,
72.html , Fall 2010 Women's Cross Country Schedule,  Oct 1 (Fri) 10:00:00 AM, Lehigh Paul Short Run, Goodman Campus, Na,24 of 41,
72.html , Fall 2010 Women's Cross Country Schedule,  Oct 16 (Sat) 11:00:00 AM, Penn State National Invite, University Park Pa., Na,17 of 31,
74.html , Fall 2012 Men's Soccer Schedule,  Aug 25 (Sat) 3:00:00 PM, Hofstra, Ulrich Sports Complex, L, 0-2,
74.html , Fall 2012 Men's Soccer Schedule,  Aug 31 (Fri) 7:00:00 PM, Stony Brook, Stony Brook N.Y., L, 0-1,
74.html , Fall 2012 Men's Soccer Schedule,  Sep 4 (Tue) 4:00:00 PM, Saint Peter's, Jersey City N.J., L, 2-3,
74.html , Fall 2012 Men's Soccer Schedule,  Sep 7 (Fri) 7:00:00 PM, Drexel, Philadelphia Pa., L, 0-1,
74.html , Fall 2012 Men's Soccer Schedule,  Sep 12 (Wed) 7:00:00 PM, La Salle, Ulrich Sports Complex, L, 0-2,
74.html , Fall 2012 Men's Soccer Schedule,  Sep 16 (Sun) 1:00:00 PM, Brown, Ulrich Sports Complex, L, 0-1,
74.html , Fall 2012 Men's Soccer Schedule,  Sep 22 (Sat) 7:00:00 PM, Bucknell, Ulrich Sports Complex, Postponed,
74.html , Fall 2012 Men's Soccer Schedule,  Sep 23 (Sun) 5:00:00 PM, Bucknell, , L, 0-1,
74.html , Fall 2012 Men's Soccer Schedule,  Sep 25 (Tue) 7:00:00 PM, Penn State, Ulrich Sports Complex, W, 1-0,
74.html , Fall 2012 Men's Soccer Schedule,  Sep 29 (Sat) 7:00:00 PM, Colgate, Hamilton N.Y., L, 0-5,
74.html , Fall 2012 Men's Soccer Schedule,  Oct 6 (Sat) 7:00:00 PM, Lafayette, Ulrich Sports Complex, L, 0-1,
74.html , Fall 2012 Men's Soccer Schedule,  Oct 9 (Tue) 3:00:00 PM, Georgetown, Washington D.C., L, 0-2,
74.html , Fall 2012 Men's Soccer Schedule,  Oct 13 (Sat) 7:00:00 PM, Navy, Annapolis Md., W, 2-1,
74.html , Fall 2012 Men's Soccer Schedule,  Oct 16 (Tue) 7:00:00 PM, Yale, New Haven Conn., W, 1-0,
74.html , Fall 2012 Men's Soccer Schedule,  Oct 20 (Sat) 4:00:00 PM, Holy Cross, Ulrich Sports Complex, W, 1-0,
74.html , Fall 2012 Men's Soccer Schedule,  Oct 23 (Tue) 7:30:00 PM, Maryland, College Park Md., L, 1-2,
74.html , Fall 2012 Men's Soccer Schedule,  Oct 27 (Sat) 7:00:00 PM, American, Ulrich Sports Complex, L, 0-1,
74.html , Fall 2012 Men's Soccer Schedule,  Nov 3 (Sat) 7:30:00 PM, Army, West Point N.Y., T, 2-2,
75.html , Spring 2008 Women's Tennis Schedule,  Sep 7 (Fri) 09:00 AM, Cornell Fall Classic, Ithaca N.Y., Na,recap,
75.html , Spring 2008 Women's Tennis Schedule,  Sep 15 (Sat) 09:00 AM, ECAC Open Championship, Newport R.I., 1st (12.5 pts.),
75.html , Spring 2008 Women's Tennis Schedule,  Oct 14 (Sun) 09:00 AM, Lehigh Tennis Invitational, Lewis Tennis Center, Na, Na
75.html , Spring 2008 Women's Tennis Schedule,  Feb 2 (Sat) 10:00 AM, Radford, Lewis Tennis Center, L, 2-5,
75.html , Spring 2008 Women's Tennis Schedule,  Feb 2 (Sat) 04:00 PM, Marist, Lewis Tennis Center, W, 4-3,
75.html , Spring 2008 Women's Tennis Schedule,  Feb 3 (Sun) 01:00 PM, Fairleigh Dickinson, Lewis Tennis Center, W, 5-2,
75.html , Spring 2008 Women's Tennis Schedule,  Feb 7 (Thu) 03:00 PM, Rutgers, Lewis Tennis Center, L, 2-5,
75.html , Spring 2008 Women's Tennis Schedule,  Feb 9 (Sat) 10:00 AM, Mount St. Mary's, Lewis Tennis Center, W, 7-0,
75.html , Spring 2008 Women's Tennis Schedule,  Feb 10 (Sun) 11:00 AM, Temple, Lewis Tennis Center, L, 0-7,
75.html , Spring 2008 Women's Tennis Schedule,  Feb 22 (Fri) 03:30 PM, Towson, Lewis Tennis Center, Postponed,
75.html , Spring 2008 Women's Tennis Schedule,  Feb 24 (Sun) 10:00 AM, Drexel, Lewis Tennis Center, W, 7-0,
75.html , Spring 2008 Women's Tennis Schedule,  Mar 3 (Mon) 12:00 PM, Florida Tech, Melbourne Fla., L, 4-5,
75.html , Spring 2008 Women's Tennis Schedule,  Mar 4 (Tue) 11:00 AM, Evansville, Melbourne Fla., L, 1-6,
75.html , Spring 2008 Women's Tennis Schedule,  Mar 13 (Thu) 04:00 PM, Delaware, Lewis Tennis Center, L, 0-7,
75.html , Spring 2008 Women's Tennis Schedule,  Mar 15 (Sat) 01:00 PM, Niagara, Lewis Tennis Center, W, 4-3,
75.html , Spring 2008 Women's Tennis Schedule,  Mar 16 (Sun) 10:00 AM, Army, Lewis Tennis Center, L, 0-7,
75.html , Spring 2008 Women's Tennis Schedule,  Mar 28 (Fri) 12:00 PM, Towson, Lewis Tennis Center, W, 7-0,
75.html , Spring 2008 Women's Tennis Schedule,  Mar 30 (Sun) 10:00 AM, Colgate, Lewis Tennis Center, L, 1-6,
75.html , Spring 2008 Women's Tennis Schedule,  Apr 1 (Tue) 03:00 PM, Bucknell, Lewisburg Pa., Postponed,
75.html , Spring 2008 Women's Tennis Schedule,  Apr 4 (Fri) 07:00 PM, Holy Cross, West Point N.Y., W, 6-1,
75.html , Spring 2008 Women's Tennis Schedule,  Apr 7 (Mon) 03:00 PM, Bucknell, Lewisburg Pa., L, 2-5,
75.html , Spring 2008 Women's Tennis Schedule,  Apr 8 (Tue) 03:00 PM, Lafayette, Ulrich Varsity Courts, W, 6-1,
75.html , Spring 2008 Women's Tennis Schedule,  Apr 13 (Sun) 10:00 AM, Bates, Lewis Tennis Center, W, 4-3,
75.html , Spring 2008 Women's Tennis Schedule,  Apr 16 (Wed) 02:30 PM, Robert Morris, Ulrich Varsity Courts, W, 7-0,
75.html , Spring 2008 Women's Tennis Schedule,  Apr 18 (Fri) 11:00 AM, No. 5 Holy Cross, West Point N.Y., W, 7-0,
75.html , Spring 2008 Women's Tennis Schedule,  Apr 19 (Sat) 11:00 AM, No. 1 Army, West Point N.Y., L, 0-4,
77.html , Fall 2007 Football Schedule,  Apr 21 (Sat) 01:00 PM, Brown and White Spring Game, Goodman Stadium, White 50Brown 39,
77.html , Fall 2007 Football Schedule,  Sep 8 (Sat) 01:00 PM, Villanova, Goodman Stadium, L, 20-30,
77.html , Fall 2007 Football Schedule,  Sep 15 (Sat) 06:00 PM, Princeton, Princeton N.J., W, 32-21,
77.html , Fall 2007 Football Schedule,  Sep 22 (Sat) 01:00 PM, VMI, Goodman Stadium, W, 37-6,
77.html , Fall 2007 Football Schedule,  Sep 29 (Sat) 01:00 PM, Harvard, Goodman Stadium, W, 20-13,
77.html , Fall 2007 Football Schedule,  Oct 6 (Sat) 1:00:00 PM, Fordham, Bronx N.Y., L, 18-28,
77.html , Fall 2007 Football Schedule,  Oct 13 (Sat) 12:30 PM, No. 16 Yale, New Haven Conn., L, 7-23,
77.html , Fall 2007 Football Schedule,  Oct 20 (Sat) 1:00:00 PM, Holy Cross, Goodman Stadium, L, 10-59,
77.html , Fall 2007 Football Schedule,  Oct 27 (Sat) 1:00:00 PM, Georgetown, Goodman Stadium, W, 45-0,
77.html , Fall 2007 Football Schedule,  Nov 3 (Sat) 12:30:00 PM, Colgate, Hamilton N.Y., L, 7-21,
77.html , Fall 2007 Football Schedule,  Nov 10 (Sat) 1:00:00 PM, Bucknell, Lewisburg Pa., W, 38-10,
77.html , Fall 2007 Football Schedule,  Nov 17 (Sat) 12:30:00 PM, Lafayette, Goodman Stadium, L, 17-21,
78.html , Spring 2004 Softball Schedule,  Feb 21 (Sat) 12:00 PM, George Washington, Washington DC, W, 8-0,
78.html , Spring 2004 Softball Schedule,  Feb 21 (Sat), George Washington, Washington DC, W, 11-3 F/9,
78.html , Spring 2004 Softball Schedule,  Feb 27 (Fri) 01:00 PM, George Mason, Virginia Beach VA, W, 6-5,
78.html , Spring 2004 Softball Schedule,  Feb 27 (Fri) 03:00 PM, Liberty, Virginia Beach VA, W, 5-1 F/8,
78.html , Spring 2004 Softball Schedule,  Feb 28 (Sat) 09:00 AM, Radford, Virginia Beach VA, L, 3-7,
78.html , Spring 2004 Softball Schedule,  Feb 28 (Sat) 11:00 AM, Norfolk State, Virginia Beach VA, W, 7-1,
78.html , Spring 2004 Softball Schedule,  Feb 29 (Sun) 11:00 AM, Delaware, Virginia Beach VA, W, 2-0,
78.html , Spring 2004 Softball Schedule,  Mar 3 (Wed) 02:30 PM, Drexel, Kaufman Field, W, 8-0 5 innings,
78.html , Spring 2004 Softball Schedule,  Mar 3 (Wed) 04:30 PM, Drexel, Kaufman Field, T, 2-2,
78.html , Spring 2004 Softball Schedule,  Mar 7 (Sun) 02:15 PM, Toledo, Kissimmee Fla., W, 5-2,
78.html , Spring 2004 Softball Schedule,  Mar 7 (Sun) 06:00 PM, Central Michigan, Kissimmee FL, L, 0-2,
78.html , Spring 2004 Softball Schedule,  Mar 8 (Mon) 08:45 AM, George Mason, Kissimmee FL, W, 3-0,
78.html , Spring 2004 Softball Schedule,  Mar 8 (Mon) 10:45 AM, Sacred Heart, Kissimmee FL, W, 6-2,
78.html , Spring 2004 Softball Schedule,  Mar 9 (Tue) 08:45 AM, IPFW, Kissimmee FL, W, 2-1,
78.html , Spring 2004 Softball Schedule,  Mar 9 (Tue) 10:45 AM, Eastern Kentucky, Kissimmee FL, L, 3-4,
78.html , Spring 2004 Softball Schedule,  Mar 11 (Thu) 12:30 PM, Butler, Kissimmee FL, W, 4-1,
78.html , Spring 2004 Softball Schedule,  Mar 11 (Thu) 02:15 PM, Yale, Kissimmee FL, W, 2-1 F/10,
78.html , Spring 2004 Softball Schedule,  Mar 12 (Fri) 08:45 AM, Quinnipiac, Kissimmee FL, L, 1-2,
78.html , Spring 2004 Softball Schedule,  Mar 12 (Fri) 10:45 AM, Niagara, Kissimmee FL, L, 5-6,
78.html , Spring 2004 Softball Schedule,  Mar 19 (Fri) 11:00 AM, Sacred Heart, Harrisonburg VA, W, 5-0,
78.html , Spring 2004 Softball Schedule,  Mar 19 (Fri) 03:00 PM, James Madison, Harrisonburg VA, L, 1-3,
78.html , Spring 2004 Softball Schedule,  Mar 20 (Sat) 09:00 AM, Binghamton, Harrisonburg VA, W, 4-3,
78.html , Spring 2004 Softball Schedule,  Mar 20 (Sat) 02:00 PM, Binghamton, Harrisonburg VA, W, 1-0,
78.html , Spring 2004 Softball Schedule,  Mar 21 (Sun) 12:00 PM, James Madison, Harrisonburg VA, W, 3-1,
78.html , Spring 2004 Softball Schedule,  Mar 24 (Wed) 02:30 PM, Delaware, Newark DE, W, 3-1,
78.html , Spring 2004 Softball Schedule,  Mar 24 (Wed) 04:30 PM, Delaware, Newark DE, W, 4-0,
78.html , Spring 2004 Softball Schedule,  Mar 27 (Sat) 02:30 PM, Army, West Point N.Y., L, 2-3,
78.html , Spring 2004 Softball Schedule,  Mar 27 (Sat) 04:30 PM, Army, West Point NY, L, 0-1,
78.html , Spring 2004 Softball Schedule,  Mar 28 (Sun) 01:00 PM, Army, West Point N.Y., W, 4-3,
78.html , Spring 2004 Softball Schedule,  Mar 28 (Sun) 03:00 PM, Army, West Point NY, W, 4-3,
78.html , Spring 2004 Softball Schedule,  Mar 31 (Wed) 02:30 PM, Pennsylvania, Kaufman Field, L, 1-2,
78.html , Spring 2004 Softball Schedule,  Mar 31 (Wed) 04:30 PM, Pennsylvania, Kaufman Field, T, 2-2,
78.html , Spring 2004 Softball Schedule,  Apr 3 (Sat) 12:00 PM, Lafayette, Easton PA, W, 8-0,
78.html , Spring 2004 Softball Schedule,  Apr 3 (Sat) 02:00 PM, Lafayette, Easton PA, W, 8-0,
78.html , Spring 2004 Softball Schedule,  Apr 4 (Sun) 12:00 PM, Lafayette, Easton PA, W, 4-2,
78.html , Spring 2004 Softball Schedule,  Apr 4 (Sun) 02:00 PM, Lafayette, Easton PA, W, 8-0,
78.html , Spring 2004 Softball Schedule,  Apr 7 (Wed) 03:00 PM, Princeton, Allentown - Pate's Park, L, 1-2 F/9,
78.html , Spring 2004 Softball Schedule,  Apr 7 (Wed) 05:00 PM, Princeton, Allentown - Pate's Park, L, 1-5,
78.html , Spring 2004 Softball Schedule,  Apr 9 (Fri) 03:30 PM, Bucknell, Pate's Park, W, 6-3,
78.html , Spring 2004 Softball Schedule,  Apr 9 (Fri) 05:30 PM, Bucknell, Pate's Park, W, 2-1,
78.html , Spring 2004 Softball Schedule,  Apr 10 (Sat) 01:00 PM, Bucknell, Kaufman Field, W, 4-0,
78.html , Spring 2004 Softball Schedule,  Apr 10 (Sat) 03:00 PM, Bucknell, Kaufman Field, W, 3-1,
78.html , Spring 2004 Softball Schedule,  Apr 15 (Thu) 03:15 PM, Villanova, Kaufman Field, W, 3-0,
78.html , Spring 2004 Softball Schedule,  Apr 15 (Thu) 05:15 PM, Villanova, Kaufman Field, L, 1-3 F/8,
